"miR_name","Other_B_Myoblast_Healthy_M180","Other_B_Myoblast_Healthy_M194","Other_B_Myoblast_Healthy_V1024","Other_B_Myoblast_DMD_M197","Other_B_Myoblast_DMD_M202","Other_B_Myoblast_DMD_M418","Other_B_Myotube_Healthy_M180","Other_B_Myotube_Healthy_M194","Other_B_Myotube_Healthy_V1024","Other_B_Myotube_DMD_M197","Other_B_Myotube_DMD_M202","Other_B_Myotube_DMD_M418","G1B_D0_Healthy_M180","G1B_D0_Healthy_M194","G1B_D0_Healthy_M398","G1B_D0_DMD_M197","G1B_D0_DMD_M202","G1B_D0_DMD_M418","G1B_D03_Healthy_M180","G1B_D03_Healthy_M194","G1B_D03_Healthy_M398","G1B_D03_DMD_M197","G1B_D03_DMD_M202","G1B_D03_DMD_M418","G1B_D10_Healthy_M180","G1B_D10_Healthy_M194","G1B_D10_Healthy_M398","G1B_D10_DMD_M197","G1B_D10_DMD_M202","G1B_D10_DMD_M418","G1B_D17_Healthy_M180","G1B_D17_Healthy_M194","G1B_D17_Healthy_M398","G1B_D17_DMD_M197","G1B_D17_DMD_M202","G1B_D17_DMD_M418","G1B_D25_Healthy_M180","G1B_D25_Healthy_M194","G1B_D25_Healthy_M398","G1B_D25_DMD_M197","G1B_D25_DMD_M202","G1B_D25_DMD_M418"
"50","MIR4254",0,0,0,0,0,0,0,0,0,0,0,0,3.98,5.14,4.11,0.95,0,2.41,0,0,0,0.76,0,0,0,0,0.45,0,0,0.66,0,0,0.79,0,0.56,0.41,1.07,1.1,0,1.05,1.42,0
"51","MIR5585",0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0.95,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.22,0.28,0.41,0.27,0,0,0.53,0,0.61
"52","AL031602.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","MIR3605",2.7,2.41,6.09,3.27,2.23,0,3.68,6.83,10.09,4.36,0,12.4,0,0,0,0,2,0,3.61,0.84,0.66,3.02,0.59,5.47,4.94,3.87,4.08,8.15,7.03,5.94,4.59,4.85,2.37,5.45,2.26,3.29,5.88,6.57,3.76,6.32,7.12,5.18
"54","AL138837.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","AC115286.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","MIR552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","AL121988.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","MIR4255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","MIR5581",0,0,1.74,0.54,0,0,0,1.14,2.24,0,0,0,3.98,21.58,6.17,8.54,6.01,12.03,4.33,4.2,3.98,1.51,1.18,4.38,2.47,2.91,2.72,1.36,3.01,1.98,1.31,1.08,2.76,2.62,1.98,2.47,1.34,5.48,0,1.58,0,0.3
"60","MIR3659",0,0,0,0,0,0,0,0,0,0,0,0,13.94,10.28,4.11,3.8,4.01,9.62,9.38,3.36,6.63,4.54,7.69,3.28,0.41,0,0,0,0,0.66,1.97,0.27,0.39,1.74,0,0.82,0.27,1.1,0,0,0,0
"61","MIR30E",120.18,72.15,107.01,82.73,69.13,0,98.14,118.32,102.53,98.04,72.71,59.54,2687.62,3983.32,2893.67,3632.87,2934.27,5070.39,3014.61,2746.49,2843.7,2279.1,2742.77,2186.34,2138.8,2002.38,2222.1,1786.65,2502.98,2011.36,2075.44,2447.62,2416.59,2925.57,2531.87,3145.05,2590.87,2627.67,1921.87,2780.93,3050.21,2350.67
"62","MIR30C1",6.75,2.41,0.87,1.63,6.69,0,9.81,7.96,6.16,0,3.64,0,25.88,23.64,18.51,11.39,18.04,31.27,33.92,21.01,24.52,26.47,33.12,28.45,16.87,14.05,21.3,10.87,20.07,9.9,17.04,16.43,18.56,20.71,13.27,13.59,14.16,10.96,13.54,12.65,12.81,9.45
"63","AL451006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0
"64","AL390776.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","MIR5584",0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,4.01,0,0,0,1.33,1.51,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
