"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"4453","Q9NXG0",0.64,1,1,1.217,0.656,0.842,0.986,1.018,0.759,1.406,0.78,1.452,9,1.01,0.1,0.639,0.784
"4454","Q9NXG2",18.13,6,6,1.179,1.07,0.916,0.941,1.032,1.187,1.176,1.228,1.292,9,1.11,0.04,0.034,0.125
"4455","Q9NXH8",5.91,2,2,0,0,0,0.757,0.756,1.185,0.701,1.176,0.699,6,0.88,0.1,0.033,0.125
"4456","Q9NXR1",15.61,4,4,2.351,1.516,0.88,0.675,0.829,1.071,1.718,1.246,1.623,9,1.32,0.18,0.1,0.241
"4457","Q9NXR8",3.35,1,1,1.298,2.094,1.135,0.586,0.842,1.069,0.662,1.528,0.95,9,1.13,0.16,0.781,0.874
"4458","Q9NXS2",2.88,1,1,0.698,0.803,0.677,0.812,0.778,0.952,0.827,0.908,0.792,9,0.81,0.03,0,0.003
"4459","Q9NXV2",17.52,3,3,1.732,1.225,1.22,1.235,1.181,1.209,1.508,0.997,1.347,9,1.29,0.07,0.001,0.015
"4460","Q9NXV6",24.48,10,10,1.273,1.139,0.996,0.878,0.849,0.887,1.081,1.014,1.043,9,1.02,0.05,0.546,0.711
"4461","Q9NXW2",13.87,5,5,1.125,1.461,1.275,0.92,0.92,1.134,1.475,1.182,1.127,9,1.18,0.07,0.03,0.117
"4462","Q9NY12",23.96,5,5,0.773,0.993,1.143,1.058,0.949,0.872,0.622,0.85,0.633,9,0.88,0.06,0.045,0.15
"4463","Q9NY15",0.54,1,1,1.19,1.048,0.97,0.903,0,0.964,1.094,0,0,6,1.03,0.04,0.492,0.667
"4464","Q9NY27",35.25,9,9,1.219,1.393,1.095,1.118,0.981,1.305,1.051,1.207,1.091,9,1.16,0.04,0.007,0.048
"4465","Q9NY33",18.59,11,11,0.81,0.811,0.904,1.042,1.219,0.955,0.959,1.095,1.047,9,0.98,0.04,0.745,0.851
"4466","Q9NY61",9.29,4,4,0.896,1.112,1.215,0.902,0.976,0.837,0.527,0.92,0.692,9,0.9,0.07,0.121,0.272
"4467","Q9NY93",8.04,4,4,0.964,1.232,1.112,1.122,0.949,1.228,1.058,1.055,0.965,9,1.08,0.04,0.175,0.34
"4468","Q9NYB0",26.07,7,7,1.042,1.176,1.191,1.285,1.091,1.295,1.229,1.173,0.957,9,1.16,0.04,0.011,0.064
"4469","Q9NYB9",8.58,3,3,0.983,0.799,0.834,0.941,1.047,0.884,1.093,0.989,1.218,9,0.98,0.04,0.988,0.993
"4470","Q9NYF8",18.91,16,17,1.046,1.177,1.164,1.043,0.893,1.116,0.933,0.903,0.786,9,1.01,0.05,0.495,0.669
"4471","Q9NYH9",7.04,4,4,1.107,1.126,0.822,0.579,0.703,0.783,0.769,0.947,0.934,9,0.86,0.06,0.081,0.213
"4472","Q9NYJ1",41.38,4,4,1.334,1.423,1.611,1.379,1.135,1.275,0.926,1.02,0.83,9,1.21,0.09,0.138,0.293
"4473","Q9NYK5",26.04,9,9,0.765,0.852,0.894,0.865,0.927,0.91,0.721,0.877,0.753,9,0.84,0.02,0,0.006
"4474","Q9NYL9",41.48,11,13,1.168,1.357,1.064,0.823,0.81,1.046,0.929,1.086,0.905,9,1.02,0.06,0.947,0.972
"4475","Q9NYM9",35.14,4,4,1.021,1.074,1.309,1.127,1.176,0.913,0.867,0.949,0.905,9,1.04,0.05,0.514,0.685
"4476","Q9NYP7",2.68,1,1,0,0.964,0,0,0,0,0,0,0,1,0,0,0,0
"4477","Q9NYQ6",0.36,1,1,0,0,0,0,1.241,0,0,0,0,1,0,0,0,0
"4478","Q9NYU1",3.1,3,5,1.295,1.257,0.662,0.518,0.691,0.972,1,1.289,1.333,9,1,0.1,0.898,0.944
"4479","Q9NYU2",23.6,29,31,0.86,1.001,0.992,1.036,1.089,1.035,0.874,1.054,0.888,9,0.98,0.03,0.259,0.436
"4480","Q9NYV4",6.98,7,8,1.398,1.157,1.403,1.227,1.01,1.044,1.261,0.855,1.038,9,1.15,0.06,0.046,0.151
"4481","Q9NZ01",6.49,2,2,0.865,1.228,0.624,0.857,0.434,1.667,1.174,0.839,0.593,9,0.92,0.13,0.046,0.152
"4482","Q9NZ08",14.45,13,13,1.413,1.291,0.967,0.662,0.733,0.956,1.059,0.965,1.135,9,1.02,0.08,0.898,0.944
"4483","Q9NZ32",10.55,2,2,1.079,0.976,0.692,1.06,1.209,1.476,1.631,1.674,1.859,9,1.3,0.13,0.067,0.192
"4484","Q9NZ43",15.06,3,3,1.216,1.29,1.049,0.665,0.829,0.853,0.695,0.746,0.685,9,0.89,0.08,0.101,0.242
"4485","Q9NZ45",25.93,2,2,0,0,0,1.008,1.197,1.01,0,1.192,0,4,1.1,0.05,0.168,0.332
"4486","Q9NZ63",10.73,3,3,1.52,1.701,1.101,0.981,1.126,1.498,1.337,1.71,1.533,9,1.39,0.09,0.002,0.02
"4487","Q9NZB2",11.9,9,9,1.458,1.061,0.805,1.089,0.794,0.941,1.359,0.876,1.076,9,1.05,0.08,0.562,0.724
"4488","Q9NZD2",19.14,4,4,1.366,0.752,0.796,0.877,0.95,0.806,1.728,1.198,1.671,9,1.13,0.13,0.214,0.388
"4489","Q9NZD8",6.82,2,2,1.032,1.467,0.943,1.023,0.726,1.574,1.106,1.111,0.784,9,1.09,0.09,0.792,0.881
"4490","Q9NZE8",5.32,1,1,0,0,0,0.719,0,0.833,0.737,0,0,3,0.76,0.04,0,0
"4491","Q9NZH0",5.71,2,2,0.616,0.679,1.717,1.828,0.945,0.714,0.648,0.367,0.335,9,0.87,0.18,0.123,0.275
"4492","Q9NZI8",44.71,23,27,1.019,0.753,0.625,0.784,0.744,0.974,1.253,0.89,1.148,9,0.91,0.07,0.242,0.417
"4493","Q9NZJ4",1.07,5,5,1.294,1.489,1.44,2.547,1.916,1.576,1.368,1.18,1.029,9,1.54,0.15,0.007,0.048
"4494","Q9NZJ7",7.97,3,3,0.808,0.96,0.529,0.715,0.557,1.15,0.894,0.898,0.799,9,0.81,0.07,0.005,0.039
"4495","Q9NZJ9",18.33,2,3,1.077,0.812,0.689,0.895,0.85,1.153,1.395,1.088,1.323,9,1.03,0.08,0.827,0.904
"4496","Q9NZL4",14.64,4,4,0.98,1.019,0.896,1.05,1.144,0.888,0.918,1.279,1.235,9,1.05,0.05,0.146,0.303
"4497","Q9NZL9",29.94,8,8,0.904,0.722,0.68,0.868,0.956,0.979,1.231,1.071,1.336,9,0.97,0.07,0.829,0.906
"4498","Q9NZM1",34.01,63,64,0.931,0.895,0.657,0.7,0.567,0.868,0.95,0.741,0.794,9,0.79,0.04,0.003,0.025
"4499","Q9NZM4",2.44,3,3,0,0,0,0,0,0,0,0,1.41,1,0,0,0,0
"4500","Q9NZN3",10.47,1,6,0,0,0,0.852,0,0,0,0,0,1,0,0,0,0
"4501","Q9NZN5",6.61,6,6,0.671,0.699,0.909,0.965,1.05,0.732,0.702,0.794,0.764,9,0.81,0.04,0.004,0.031
"4502","Q9NZN8",5.93,3,3,1.399,1.034,0.911,0.897,0.886,1.095,1.572,0.989,1.342,9,1.13,0.08,0.153,0.313
"4503","Q9NZT2",18.61,8,9,1.081,0.734,1.026,1.027,1.265,0.902,1.201,1.106,1.16,9,1.06,0.05,0.238,0.413
"4504","Q9NZU5",11.23,3,3,0.478,0.804,0,0,0,1.483,1.607,1.024,0.611,6,1,0.19,0.244,0.42
"4505","Q9NZV5",3.39,2,2,1.058,1.438,0.96,0.698,0.701,1.034,0.76,1.033,0.763,9,0.94,0.08,0.18,0.347
"4506","Q9NZW5",18.52,10,10,1.27,0.861,0.76,0.935,0.643,1.034,1.253,0.788,0.861,9,0.93,0.07,0.183,0.351
"4507","Q9NZZ3",13.7,3,3,1.117,1.252,1.307,1.495,1.311,1.133,1.069,1.095,0.98,9,1.2,0.05,0.012,0.065
"4508","Q9P000",9.6,2,2,1.321,1.383,1.449,0.856,0.936,1.001,0.955,1.252,1.2,9,1.15,0.07,0.054,0.169
"4509","Q9P013",13.54,3,4,1.305,1.304,1.28,1.238,1.112,1.259,0.988,1.124,1.062,9,1.19,0.04,0.003,0.029
"4510","Q9P015",23.99,6,6,0.618,0.675,0.67,0.776,0.769,0.817,0.761,0.856,0.903,9,0.76,0.03,0,0.01
"4511","Q9P016",25.33,6,6,1.073,0.941,1.028,1.265,1.135,1.07,1.173,0.985,1.161,9,1.09,0.03,0.02,0.091
"4512","Q9P031",14.94,3,3,0.707,0.722,0.982,1.105,1.023,0.726,0.648,0.74,0.727,9,0.82,0.06,0.011,0.062
"4513","Q9P032",35.43,7,7,1.024,1.214,1.106,0.914,0.978,0.943,0.807,0.94,0.792,9,0.97,0.04,0.303,0.484
"4514","Q9P035",7.18,2,2,0.837,1.022,1.158,1.462,1.007,1.59,1.302,1.089,0.896,9,1.15,0.08,0.355,0.538
"4515","Q9P0B6",8.25,1,1,0.398,0,0.348,0.843,1.13,0,0.952,0,1.277,6,0.82,0.16,0.303,0.484
"4516","Q9P0I2",5.75,2,2,0.977,1.233,0.854,0.935,0.754,1.335,1.057,1.071,0.852,9,1.01,0.06,0.314,0.496
"4517","Q9P0J0",42.36,7,7,0.811,0.99,1.093,0.813,0.942,1.127,0.667,0.78,0.735,9,0.88,0.05,0.009,0.055
"4518","Q9P0J1",5.96,3,3,0.695,0.833,0.83,1.046,0.822,1.038,0.865,0.811,0.679,9,0.85,0.04,0.001,0.015
"4519","Q9P0J7",10.5,3,3,1.149,0.806,1.01,0.791,1.224,0.624,0.889,0.96,1.374,9,0.98,0.08,0.591,0.746
"4520","Q9P0K7",11.02,10,11,1.101,1.156,1.026,0.98,1.222,1.046,0.968,1.276,1.208,9,1.11,0.04,0.01,0.059
"4521","Q9P0L0",40.16,8,9,0.686,0.954,0.697,0.809,0.844,1.091,0.783,1.043,0.691,9,0.84,0.05,0.002,0.02
"4522","Q9P0M6",46.24,14,16,0.801,0.825,0.961,1.272,1.163,1.069,1.062,1.005,0.976,9,1.01,0.05,0.94,0.968
"4523","Q9P0M9",6.76,1,1,0.621,0.497,1.022,1.436,1.968,0.717,0.791,0.978,1.085,9,1.01,0.15,0.863,0.926
"4524","Q9P0P0",11.76,2,2,0.825,1.064,0.931,1.245,1.456,1.407,1.089,1.636,1.273,9,1.21,0.09,0.056,0.172
"4525","Q9P0R6",7.19,1,1,0.895,0.904,0.965,1.017,0.981,0.821,1.078,1.11,1.04,9,0.98,0.03,1,1
"4526","Q9P0T7",7.1,1,1,0.982,1.264,1.531,1.683,1.286,1.368,1.287,1.04,0.982,9,1.27,0.08,0.024,0.102
"4527","Q9P0U3",10.87,5,6,0.964,0.703,0.981,1.193,1.083,0.941,1.169,1.112,1.531,9,1.08,0.08,0.225,0.399
"4528","Q9P0U4",6.25,3,3,0.584,0.59,0.6,1.075,0.638,1.046,1.034,0.617,0.613,9,0.76,0.07,0.002,0.02
"4529","Q9P0V9",4.41,2,2,1.188,0.965,1.016,1.182,1.144,0.836,1.365,0.896,1.131,9,1.08,0.06,0.048,0.155
"4530","Q9P0W2",13.25,4,4,0,0,0,1.166,1.001,1.864,1.467,0,1.088,5,1.32,0.16,0.105,0.248
"4531","Q9P1Y6",3.52,3,4,0.722,1.408,1.012,1.022,0.884,1.406,0.72,1.209,0.622,9,1,0.1,0.23,0.405
"4532","Q9P1Z2",9.84,5,6,1.316,1.17,1.261,1.314,1.561,1.076,1.371,1.249,1.56,9,1.32,0.05,0,0.002
"4533","Q9P206",1.16,1,1,0.784,0.779,0.763,0.948,0.704,0.957,0.962,0.707,0.714,9,0.81,0.04,0,0.008
"4534","Q9P217",1.77,2,2,0,0,0,1.131,0.901,0,0.691,0,0.55,4,0.82,0.13,0.095,0.234
"4535","Q9P218",1.4,2,2,0.727,0.677,1.068,1.093,1.019,0.685,0.735,0.635,0.685,9,0.81,0.06,0.016,0.079
"4536","Q9P225",0.16,1,1,0.87,0.657,0.833,0.862,0.874,0.672,0.889,0.678,0.9,9,0.8,0.03,0.002,0.022
"4537","Q9P241",0.77,1,1,0,0,0,0,0,0,0,0,1.438,1,0,0,0,0
"4538","Q9P246",2.68,2,2,1.166,1.638,2.808,3.011,2.529,1.644,1.235,1.589,1.036,9,1.85,0.25,0.009,0.053
"4539","Q9P253",7.4,6,7,0.981,0.852,0.79,0.801,0.823,0.881,1.082,0.923,1.111,9,0.92,0.04,0.16,0.321
"4540","Q9P258",17.05,9,9,1.48,1.015,0.963,0.943,0.945,1.033,1.434,0.958,1.438,9,1.13,0.08,0.078,0.209
"4541","Q9P265",2.35,3,3,0.887,0.741,0.799,1.63,1.153,0.86,1.028,1.034,1.303,9,1.05,0.09,0.481,0.658
"4542","Q9P270",13.77,6,6,1.718,1.262,1.491,1.09,1.47,0.889,0.918,1.343,1.368,9,1.28,0.09,0.002,0.022
"4543","Q9P275",0.89,1,1,0.998,0.83,1.073,1.404,1.264,1.074,1.289,0.962,1.16,9,1.12,0.06,0.092,0.231
"4544","Q9P287",24.2,7,7,1.066,1.009,1.048,0.967,0.908,0.956,0.99,0.947,0.955,9,0.98,0.02,0.346,0.528
"4545","Q9P289",15.87,4,6,1.227,0.512,0.764,0.885,0.926,0.587,1.404,0.499,1.423,9,0.91,0.12,0.644,0.786
"4546","Q9P291",4.19,2,2,0.985,1.351,1.411,1.274,1.385,1.205,0.877,1.303,0.953,9,1.19,0.07,0.061,0.181
"4547","Q9P2B2",7.74,7,7,1.318,1.343,0.98,0.827,0.569,1.133,1.143,0.793,0.917,9,1,0.09,0.603,0.755
"4548","Q9P2B4",11.27,5,5,1.028,1.257,1.099,0.973,1.13,1.1,0.899,1.27,1.043,9,1.09,0.04,0.082,0.214
"4549","Q9P2D0",0.67,1,1,0,0,0,0,0,0,0.554,0,1.128,2,0,0,0.652,0.792
"4550","Q9P2D1",3.97,11,12,1.167,0.914,0.716,0.868,0.76,0.821,1.14,1.022,1.427,9,0.98,0.08,0.836,0.91
"4551","Q9P2D3",1.3,1,2,0.718,1.652,2.188,2.387,1.347,1.782,0.773,1,0.436,9,1.36,0.23,0.868,0.929
"4552","Q9P2E5",4.92,3,3,1.797,0.809,0.899,0.674,1.223,0.668,1.329,1.321,2.778,9,1.28,0.22,0.116,0.265
"4553","Q9P2E9",61.7,68,72,1.138,1.32,1.226,0.985,1.089,1.062,0.907,1.109,0.959,9,1.09,0.04,0.135,0.289
"4554","Q9P2I0",9.59,6,6,1.022,0.977,0.704,0.823,0.599,1.128,1.179,0.817,0.858,9,0.9,0.06,0.055,0.17
"4555","Q9P2J5",18.71,20,20,0.891,0.722,0.623,0.702,0.681,0.849,0.977,0.83,1.011,9,0.81,0.05,0.011,0.063
"4556","Q9P2K2",1.21,1,1,0.359,0.66,0,0,0,0.574,0.312,0.996,0.543,6,0.57,0.1,0.015,0.077
"4557","Q9P2K3",9.9,4,6,1.623,2.054,0.837,0.912,0.5,2.213,1.244,1.208,0.962,9,1.28,0.19,0.65,0.79
"4558","Q9P2K5",5.5,2,2,1.048,1.369,1.434,1.029,1.453,0.971,0.742,1.082,0.936,9,1.12,0.08,0.269,0.447
"4559","Q9P2K8",1.27,2,2,1.014,0.657,0.587,0.662,0.483,0.718,1.108,0.676,1.048,9,0.77,0.07,0.039,0.137
"4560","Q9P2N4",0.57,1,1,0.547,0.784,0.883,1.59,1.698,1.396,0.973,1.483,1.038,9,1.15,0.13,0.687,0.814
"4561","Q9P2N5",7.55,6,8,1.13,1.484,0.885,0.792,0.721,1.228,1.057,0.792,0.783,9,0.99,0.09,0.302,0.483
"4562","Q9P2R3",6.07,6,6,0.883,0.912,0.746,0.562,0.699,0.943,0.978,1.168,1.143,9,0.89,0.07,0.191,0.36
"4563","Q9P2R7",20.52,11,11,0.754,0.939,0.902,0.903,0.918,0.882,0.751,0.913,0.72,9,0.85,0.03,0.001,0.016
"4564","Q9P2T1",5.46,2,2,0.793,0.868,1.027,1.327,1.231,1.108,1.012,1.023,0.938,9,1.04,0.06,0.866,0.927
"4565","Q9P2W9",4.48,2,2,0.875,0.755,0.502,0.493,0.612,0.732,0.848,0.904,1.052,9,0.75,0.06,0.021,0.094
"4566","Q9P2X0",10.87,1,1,0.881,0.919,0.848,0.895,0.712,0.958,0.92,0.722,0.723,9,0.84,0.03,0.001,0.011
"4567","Q9P2X3",21.25,5,5,0,0.93,1.09,1.032,0.957,0.869,0,0.802,0,6,0.95,0.04,0.445,0.628
"4568","Q9P2Y4",1.8,1,1,0,0,0,0.995,0.864,1.442,1.634,1.246,1.419,6,1.27,0.12,0.088,0.224
"4569","Q9UBB4",27.58,13,13,1.171,0.976,0.738,0.767,0.723,0.981,1.113,1.004,1.161,9,0.96,0.06,0.555,0.719
"4570","Q9UBB5",8.52,2,4,0,0,0,2.506,1.675,1.525,0.757,1.015,0.506,6,1.33,0.3,0.956,0.977
"4571","Q9UBB6",2.61,2,2,0.835,0.605,1.126,1.542,0.949,0.819,1.129,0.501,0.694,9,0.91,0.11,0.217,0.392
"4572","Q9UBB9",9.08,6,6,1.169,1.118,0.973,0.575,0.649,0.819,0.871,0.861,0.862,9,0.88,0.06,0.097,0.236
"4573","Q9UBC2",21.53,13,13,1.237,1.063,1.161,1.088,1.221,1.066,1.055,1.205,1.109,9,1.13,0.02,0,0.008
"4574","Q9UBD5",1.41,1,1,1.175,1.216,1.227,1.269,1.34,1.243,1.199,1.306,1.266,9,1.25,0.02,0,0
"4575","Q9UBE0",32.95,12,12,0.992,0.903,0.766,0.984,0.884,1.064,1.078,0.981,1.029,9,0.96,0.03,0.222,0.398
"4576","Q9UBF2",8.15,5,7,0.862,0.848,0.455,0.551,0.558,0.889,1.035,0.682,0.798,9,0.74,0.06,0.006,0.041
"4577","Q9UBF9",27.91,13,13,0.282,0.668,2.819,2.978,4.286,1.122,0.476,1.334,0.585,9,1.62,0.47,0.875,0.932
"4578","Q9UBG0",8.65,10,10,1.768,1.753,0.984,1.112,0.922,1.563,1.4,1.489,1.31,9,1.37,0.1,0.009,0.054
"4579","Q9UBH6",1.15,1,1,0.642,0.618,1.015,1.158,1.281,0.696,0.723,0.766,0.799,9,0.86,0.08,0.086,0.22
"4580","Q9UBI1",4.62,1,1,1.075,1.209,0.819,0.989,0.855,1.442,1.281,1.241,1.108,9,1.11,0.07,0.288,0.468
"4581","Q9UBI6",47.22,3,3,0.654,0.834,0.603,0.728,1.025,0.996,0.78,1.394,1.097,9,0.9,0.08,0.202,0.375
"4582","Q9UBK9",5.1,1,1,1.153,0.747,0.869,1.033,0.703,0.884,1.256,0.593,0.92,9,0.91,0.07,0.191,0.361
"4583","Q9UBM7",2.74,1,1,0,0,0.848,0.734,1.201,0,0,0,0,3,0.93,0.14,0.566,0.728
"4584","Q9UBN6",3.11,1,1,1.134,1.508,0.991,0,0.628,0,0,0.94,0.71,6,0.99,0.13,0.47,0.649
"4585","Q9UBN7",3.54,3,4,1.051,0.912,1.01,1.118,1.228,0.998,1.148,1.091,1.261,9,1.09,0.04,0.017,0.082
"4586","Q9UBP6",23.55,6,6,0.484,0.468,0.978,1.239,0.925,0.811,0.876,0.854,0.987,9,0.85,0.08,0.131,0.284
"4587","Q9UBP9",10.53,3,3,0,0,0,0.6,0,0.873,0.684,0,0,3,0.72,0.08,0,0
"4588","Q9UBQ0",24.73,5,5,1.04,1.002,1.016,1.034,1.221,1.134,1.108,1.217,1.189,9,1.11,0.03,0.005,0.04
"4589","Q9UBQ5",8.26,2,2,1.266,1.027,1.145,0.728,1.159,0.917,0.887,1.003,1.233,9,1.04,0.06,0.383,0.564
"4590","Q9UBQ7",36.59,11,11,0.782,0.932,1.064,1.307,1.116,1.033,0.932,1.002,0.877,9,1.01,0.05,0.733,0.841
"4591","Q9UBR2",7.26,2,2,0.655,1.007,0.691,0.722,0.562,1.039,0.675,0.805,0.526,9,0.74,0.06,0,0.009
"4592","Q9UBS0",9.96,2,2,0.768,0.666,0.71,0.883,0.985,0.819,0.944,0.909,1.052,9,0.86,0.04,0.041,0.141
"4593","Q9UBS4",19.27,6,6,1.139,1.141,1.374,0.975,1.101,0.918,0.742,0.914,0.923,9,1.03,0.06,0.8,0.885
"4594","Q9UBS9",4.39,5,6,1.908,1.744,1.576,1.869,2.214,0,0,0,0,5,1.86,0.11,0,0.009
"4595","Q9UBT2",29.84,14,14,0.89,0.796,0.635,0.931,0.871,1.065,1.129,0.98,1.153,9,0.94,0.06,0.296,0.477
"4596","Q9UBU8",18.78,5,5,1.285,1.629,1.204,1.122,1.117,1.474,1.146,1.482,1.156,9,1.29,0.06,0.001,0.018
"4597","Q9UBU9",5.82,3,3,0.893,1.028,0.885,0.655,1.085,0.751,0.652,1.239,1.081,9,0.92,0.07,0.386,0.567
"4598","Q9UBV2",2.27,2,2,1.932,2.062,1.123,0.82,0.728,1.068,0.942,1.086,0.987,9,1.19,0.16,0.387,0.567
"4599","Q9UBV7",2.45,1,1,1.066,1.237,1.302,1.453,1.443,1.365,1.175,1.349,1.166,9,1.28,0.04,0,0.008
"4600","Q9UBV8",12.68,4,4,1.089,0.886,0.856,0.966,0.951,0.978,1.217,0.922,1.122,9,1,0.04,0.897,0.944
"4601","Q9UBW7",6.61,7,7,1.034,1.37,1.062,0.8,1.179,1.215,1.034,1.593,1.243,9,1.17,0.08,0.064,0.185
"4602","Q9UBW8",17.82,5,5,1.02,1.151,1.123,1.176,1.048,1.104,1.045,0.992,1.035,9,1.08,0.02,0.011,0.061
"4603","Q9UBX0",4.32,1,1,0.953,1.002,0.922,1.078,1.074,1.158,1.1,1.147,1.095,9,1.06,0.03,0.096,0.235
"4604","Q9UBX3",7.67,2,2,0,0,0,0.732,0.651,1.011,0.467,0.895,0.415,6,0.7,0.1,0.007,0.047
"4605","Q9UDR5",10.48,10,10,0.709,0.788,0.869,0.928,0.774,0.856,0.753,0.666,0.625,9,0.77,0.03,0,0.006
"4606","Q9UDT6",17.11,14,17,1.448,1.366,1.154,1.346,1.59,1.603,1.683,1.979,1.969,9,1.57,0.09,0,0.004
"4607","Q9UDW3",7.06,1,1,0.486,0,0.689,1.036,0.494,0,0.721,0,0.344,6,0.63,0.1,0.007,0.045
"4608","Q9UDY2",11.01,9,10,0.768,0.992,0.748,0.586,0.67,1.103,0.621,1.008,0.703,9,0.8,0.06,0.002,0.02
"4609","Q9UDY4",26.41,6,7,1.003,0.873,1.359,1.145,1.84,1.13,1.052,1.163,1.339,9,1.21,0.09,0.032,0.122
"4610","Q9UEE9",20.07,5,5,1.103,1.119,0.891,0.914,0.881,0.97,1.159,0.958,1.153,9,1.02,0.04,0.52,0.691
"4611","Q9UER7",3.51,2,2,1.261,1.448,1.098,0.859,0.705,1.119,0.973,0.915,0.799,9,1.02,0.08,0.653,0.792
"4612","Q9UEU0",25.43,5,5,1.398,1.771,1.657,1.307,1.019,1.274,1.206,0.969,0.987,9,1.29,0.1,0.03,0.116
"4613","Q9UEW8",6.42,2,4,1.081,0.789,0.879,0.782,1.008,0.694,0.949,0.89,1.223,9,0.92,0.05,0.544,0.71
"4614","Q9UEY8",9.21,6,6,1.109,0.773,0.979,1.361,1.225,0.903,0.831,0.864,0.886,9,0.99,0.07,0.742,0.848
"4615","Q9UFC0",3.55,2,2,0,0,0,0.769,0,1.166,0,0,0,2,0,0,0,0
"4616","Q9UFG5",22.03,2,2,0.881,1.085,1.102,1.074,0.973,1.044,0.847,0.942,0.767,9,0.97,0.04,0.171,0.335
"4617","Q9UFW8",17.96,3,3,1.725,1.719,1.572,1.204,1.544,1.301,1.304,1.659,1.671,9,1.52,0.07,0,0.001
"4618","Q9UG63",13.64,9,9,1.266,0.781,0.668,0.734,0.835,0.85,1.292,1.051,1.501,9,1,0.1,0.847,0.917
"4619","Q9UGI8",27.08,11,11,0.97,0.836,0.976,1.059,0.986,0.858,0.985,0.884,0.891,9,0.94,0.02,0.044,0.149
"4620","Q9UGM6",12.5,4,4,1.216,1.288,1.332,1.038,0.911,1.091,0.91,0.862,0.87,9,1.06,0.06,0.714,0.831
"4621","Q9UGP4",12.28,5,5,0.908,1.403,1.102,1.519,1.718,1.459,1.113,1.642,1.258,9,1.35,0.09,0.006,0.042
"4622","Q9UGP8",14.74,10,10,0.845,0.931,0.795,0.846,0.72,0.986,0.947,0.859,0.702,9,0.85,0.03,0,0.01
"4623","Q9UGQ2",7.56,1,1,0,0,0,1.497,1.603,0.963,0.975,1.026,1.043,6,1.18,0.12,0.136,0.29
"4624","Q9UGR2",2.42,2,2,0,0,0.947,0,1.251,0,0,1.06,0,3,1.09,0.09,0.456,0.635
"4625","Q9UGU0",5.92,7,7,1.107,1.028,1.173,1.438,1.225,1.245,1.339,1.055,1.14,9,1.19,0.04,0.002,0.023
"4626","Q9UH62",10.03,3,3,0,1.319,1.407,0,1.871,0,0,1.724,0,4,1.58,0.13,0.929,0.963
"4627","Q9UH65",19.15,11,11,1.126,0.946,1.038,0.893,1.2,0.89,1.144,1.223,1.603,9,1.12,0.07,0.046,0.151
"4628","Q9UH92",4.7,1,1,0,0,0,1.134,0,1.061,1.347,0,0,3,1.18,0.09,0,0
"4629","Q9UH99",12.97,6,6,0,0,0,1.134,0,0,1.514,0,0,2,0,0,0,0
"4630","Q9UHB6",32.81,21,21,0.857,1.147,1.118,0.986,1.36,0.943,0.799,1.316,1.036,9,1.06,0.06,0.359,0.543
"4631","Q9UHB7",4.39,4,4,1.265,1.346,1.819,0.823,0.529,0.602,0.565,0.385,0.363,9,0.86,0.17,0.125,0.277
"4632","Q9UHB9",20.1,12,12,0.842,0.657,0.664,0.897,0.814,0.921,1.158,0.785,1.042,9,0.86,0.05,0.053,0.168
"4633","Q9UHD1",8.73,2,2,0.8,1.017,0.927,0.461,1.053,0.5,0.393,1.136,0.897,9,0.8,0.09,0.111,0.258
"4634","Q9UHD2",4.25,3,3,1.22,0.805,0.57,0.65,0.6,0.842,1.182,0.774,1.092,9,0.86,0.08,0.147,0.304
"4635","Q9UHD8",43.34,20,20,1.058,0.859,0.912,1.072,1.227,0.974,1.252,1.107,1.397,9,1.1,0.06,0.069,0.195
"4636","Q9UHD9",19.23,3,7,1.096,0.805,1.318,1.197,1.224,0.763,1.043,0.726,1.065,9,1.03,0.07,0.544,0.71
"4637","Q9UHF5",18.33,3,3,0.499,0.995,2.441,1.641,3.893,0.99,0.545,1.517,0.785,9,1.48,0.36,0.508,0.681
"4638","Q9UHG3",15.25,7,7,1.239,2.011,1.19,1.215,0.99,1.588,1.122,1.599,1.088,9,1.34,0.11,0.017,0.082
"4639","Q9UHJ6",11.72,4,4,0.871,0.564,0.627,0.797,0.893,0.843,1.132,1.009,1.035,9,0.86,0.06,0.101,0.242
"4640","Q9UHL0",2.48,1,1,1.289,1.198,0.932,1.186,0,1.507,1.621,0,0,6,1.29,0.1,0.082,0.214
"4641","Q9UHL4",4.67,2,2,0.494,0.878,0.739,1.105,0.379,1.789,1.073,0.595,0.35,9,0.82,0.15,0.011,0.061
"4642","Q9UHN6",5.21,6,6,1.2,2.137,1.875,1.164,1.274,1.311,0.763,1.427,0.993,9,1.35,0.14,0.067,0.192
"4643","Q9UHP3",5.02,4,5,1.094,1.238,1.172,1.133,1.283,1.442,1.429,1.624,1.617,9,1.34,0.07,0.001,0.011
"4644","Q9UHP9",46.59,3,3,0.839,0.866,13.709,13.175,24.493,0.757,0.733,1.298,1.262,9,6.35,2.9,0.082,0.214
"4645","Q9UHQ4",5.81,2,2,0.946,1.09,0.719,0.939,0.988,1.222,1.219,1.169,1.282,9,1.06,0.06,0.445,0.627
