"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"137","O14763",3.41,1,1,0,0,1.505,0,0,0,0,0,0,1,0,0,0,0
"138","O14770",4.4,2,2,1.401,1.44,0.719,0.62,1.072,1.647,1.537,2.198,2.304,9,1.44,0.19,0.088,0.223
"139","O14771",4.14,1,1,0,0,0,0,0.493,0,0,0.684,0,2,0,0,0,0
"140","O14773",3.73,2,2,1.692,2.035,1.452,0.411,1.291,0.569,0.473,1.78,1.485,9,1.24,0.2,0.39,0.571
"141","O14776",17.76,23,23,1.107,1.367,1.222,1.038,1.047,1.088,0.974,1.118,0.998,9,1.11,0.04,0.045,0.15
"142","O14777",4.52,3,3,0,0,0,0,1.211,0,0,0,0,1,0,0,0,0
"143","O14787",7.8,2,5,0,0.934,0.611,0,0.664,0,0,0.998,0,4,0.8,0.1,0.141,0.297
"144","O14802",1.08,1,1,0,0,0,1.001,1.213,1.145,1.469,1.38,1.779,6,1.33,0.11,0.013,0.07
"145","O14818",28.63,7,7,0.775,0.885,1.17,1.706,1.644,1.214,1.016,1.066,0.976,9,1.16,0.11,0.32,0.502
"146","O14828",14.99,4,4,0.97,1.22,0.878,1.126,0.79,1.18,1.061,0.883,0.861,9,1,0.05,0.385,0.566
"147","O14832",2.37,1,1,1.078,1.379,0.842,0.996,0.667,1.611,1.258,1.073,0.842,9,1.08,0.1,0.787,0.877
"148","O14841",4.35,4,4,0,0,0,1.932,2.489,0.913,1.072,1.17,1.381,6,1.49,0.25,0.027,0.11
"149","O14880",5.26,1,1,0.785,0.791,0.627,0.745,0.706,0.766,0.768,0.722,0.728,9,0.74,0.02,0,0.001
"150","O14896",1.71,1,1,1.216,1.412,0.582,0.466,0.451,1.118,0.962,1.077,0.931,9,0.91,0.11,0.226,0.401
"151","O14907",13.71,1,1,0,0,0,0,1.12,0,0,0.539,0.85,3,0.84,0.17,0.289,0.469
"152","O14908",30.63,7,8,1.253,1.037,1.484,0.83,1.106,0.541,0.676,0.799,0.878,9,0.96,0.1,0.727,0.838
"153","O14920",1.46,1,1,0,0.676,0.918,1.068,0.74,0.777,0,0.535,0,6,0.79,0.08,0.088,0.224
"154","O14929",13.13,4,4,1.854,1.055,1.536,1.208,1.916,0.82,1.342,1.833,1.721,9,1.48,0.13,0,0.008
"155","O14933",9.8,1,2,0,0,1.752,0,0,0,0,0,0,1,0,0,0,0
"156","O14949",46.34,5,5,0.819,1.049,1.244,0.982,0.97,0.898,0.74,0.851,0.797,9,0.93,0.05,0.12,0.27
"157","O14958",20.05,8,8,0.282,0.729,9.788,10.077,20.549,0.815,0.314,1.5,0.573,9,4.96,2.36,0.414,0.597
"158","O14964",9.14,7,7,1.062,0.929,0.855,0.976,1.048,1.072,1.174,1.117,1.29,9,1.06,0.04,0.185,0.353
"159","O14974",17.28,16,16,0.874,1.125,1.061,1.114,1.299,1.042,0.891,1.244,1.049,9,1.08,0.05,0.161,0.323
"160","O14976",7.17,8,8,0.752,0.601,0.697,0.848,0.855,0.842,1,0.888,1.043,9,0.84,0.05,0.027,0.11
"161","O14979",26.67,9,12,1.11,1.604,1.693,1.326,1.291,1.268,0.816,1.238,0.815,9,1.24,0.1,0.16,0.322
"162","O14980",18.58,18,18,0.941,0.701,0.562,0.879,0.661,0.95,1.341,0.811,1.151,9,0.89,0.08,0.199,0.371
"163","O14981",1.68,3,3,0,0,0,0.863,0.693,1.062,1.637,0.848,1.08,6,1.03,0.13,0.949,0.973
"164","O14983",14.49,5,15,0.555,0.891,2.828,3.285,3.772,1.244,0.679,1.358,0.79,9,1.71,0.41,0.316,0.498
"165","O15014",5.81,5,5,1.536,1.612,1.709,1.174,1.446,1.095,1.042,1.341,1.282,9,1.36,0.08,0,0.009
"166","O15027",7.3,10,10,0.809,0.9,0.737,0.968,1.006,1.17,1.05,1.445,1.062,9,1.02,0.07,0.833,0.908
"167","O15031",12.46,17,17,1.225,1.168,1.078,1.083,0.951,1.12,1.103,1.061,0.994,9,1.09,0.03,0.031,0.12
"168","O15042",16.13,14,14,1.13,1.196,0.872,0.763,0.57,0.99,0.92,0.852,0.795,9,0.9,0.06,0.081,0.213
"169","O15047",4.75,5,5,0.647,0.408,0.506,0.538,0.608,0.429,0.68,0.482,0.767,9,0.56,0.04,0,0.005
